stock_id,股票代號,股票名稱,股價,今日漲跌%,投信持有%,投信今日%,投信今日(張),5買%,10買%,20買%,5買N天,10買N天,20買N天,5賣N天,10賣N天,20賣N天,外資持有%,外資今日%,Q1-Q3EPS,1月-11月EPS,去年EPS,三率三升,月增率%,年增率%,累積年增率%,月增率遞增,年增率遞增,累積年增率遞增,累積年增率>20%,累積年增率>50%,累積年增率>100%,上月營收創新高,股票名稱.1,股票代號.1,1月-12月EPS(預估),1月EPS(預估),去年EPS(預估),sar趨勢向上,2021Q4三率三升,1-2月EPS(預估),去年Q1-Q3EPS,去年Q1-Q4EPS,1-3月EPS(預估),1-4月EPS(預估),Q1 EPS,EPS遞增季數,EPS遞減季數,2022Q1三率三升,主力今日%,主力5買%,主力10買%,主力20買%,去年累計同期EPS,去年整年EPS,營收遞增月數,營收創新高,營收月增率%,營收年增率%,營收累計年增率%,月增率遞增月數,年增率遞增月數,累計年增率遞增月數,營業利益成長率遞增季數,營業毛利成長率遞增季數,稅前淨利成長率遞增季數,產業,本益比(同產業rank),股價淨值比(同產業rank),殖利率(同產業rank)
2022-01-10,6217,中探針,53.3,2.3,0.25,0.25,165.0,0.25,0.2,0.19,1,1,1,0,1,2,3.82,-0.5,1.75,,1.48,,11.69,31.8,23.0,3個月遞增,2個月遞增,2個月遞增,連續3個月>20%,,,v,中探針,6217,2.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-11,3583,辛耘,103.0,-6.79,0.17,0.17,140.0,0.17,0.17,0.17,1,1,1,0,0,0,10.41,-2.66,3.7,,3.8,,12.15,0.91,30.83,單月增加,單月增加,單月增加,連續3個月>20%,,,v,辛耘,3583,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-13,1785,光洋科,49.45,-0.1,0.0,0.0,2.0,0.0,0.0,0.0,1,1,1,0,0,0,6.23,0.0,1.61,,1.69,,23.56,13.22,17.6,2個月遞增,2個月遞增,單月增加,,,,v,光洋科,1785,2.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-14,2915,潤泰全,100.0,-2.44,0.01,0.01,48.0,0.01,0.01,-4.28,1,1,1,2,3,12,0.0,0.0,20.4,,14.85,,8.6,,-1.48,3個月遞增,,3個月遞增,,,,,潤泰全,2915,25.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-17,5478,智冠,93.2,1.86,0.04,0.04,50.0,0.04,0.04,0.03,1,1,1,0,0,1,30.32,-0.03,5.24,,7.76,,8.8,-16.24,-9.02,2個月遞增,2個月遞增,,,,,,智冠,5478,6.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-17,1305,華夏,33.8,0.3,0.0,0.0,9.0,-0.0,-0.0,-0.0,1,1,1,2,2,3,9.85,-0.05,3.22,,2.95,v,-21.1,-20.35,47.25,,,單月增加,連續3個月>20%,,,,華夏,1305,4.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-18,3548,兆利,67.2,0.15,0.13,0.13,78.0,0.13,0.13,0.13,1,1,1,0,0,0,3.24,-0.14,1.58,,5.03,,15.82,70.97,34.26,單月增加,3個月遞增,3個月遞增,連續3個月>20%,,,v,兆利,3548,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-18,1471,首利,8.39,1.08,0.05,0.05,72.0,0.05,0.05,0.05,1,1,1,0,0,0,0.21,-0.02,-0.39,,2.63,,-3.88,-72.47,-67.21,,,,,,,,首利,1471,-0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-18,2461,光群雷,23.45,0.64,0.05,0.05,78.0,0.05,0.05,0.05,1,1,1,0,0,0,6.48,0.09,2.37,,0.96,,6.26,32.36,12.99,2個月遞增,3個月遞增,3個月遞增,,,,,光群雷,2461,3.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-18,6164,華興,14.95,0.0,0.05,0.05,48.0,0.05,0.05,0.05,1,1,1,0,0,0,0.96,-0.14,0.16,,-0.17,v,-5.46,10.0,25.49,,單月增加,單月增加,連續3個月>20%,,,,華興,6164,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
