stock_id,股票代號,股票名稱,股價,今日漲跌%,投信持有%,投信今日%,投信今日(張),5買%,10買%,20買%,5買N天,10買N天,20買N天,5賣N天,10賣N天,20賣N天,外資持有%,外資今日%,Q1-Q3EPS,1月-11月EPS,去年EPS,三率三升,月增率%,年增率%,累積年增率%,月增率遞增,年增率遞增,累積年增率遞增,累積年增率>20%,累積年增率>50%,累積年增率>100%,上月營收創新高,股票名稱.1,股票代號.1,1月-12月EPS(預估),1月EPS(預估),去年EPS(預估),sar趨勢向上,2021Q4三率三升,1-2月EPS(預估),去年Q1-Q3EPS,去年Q1-Q4EPS,1-3月EPS(預估),1-4月EPS(預估),Q1 EPS,EPS遞增季數,EPS遞減季數,2022Q1三率三升,主力今日%,主力5買%,主力10買%,主力20買%,去年累計同期EPS,去年整年EPS,營收遞增月數,營收創新高,營收月增率%,營收年增率%,營收累計年增率%,月增率遞增月數,年增率遞增月數,累計年增率遞增月數,營業利益成長率遞增季數,營業毛利成長率遞增季數,稅前淨利成長率遞增季數,產業,本益比(同產業rank),股價淨值比(同產業rank),殖利率(同產業rank)
2022-01-07,3260,威剛,87.3,-1.47,0.3,0.04,117.0,0.04,0.04,0.05,1,1,3,2,6,9,2.42,-0.13,9.03,9.13,6.1,,7.66,14.52,23.99,3個月遞增,單月增加,單月增加,連續3個月>20%,,,,威剛,3260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-07,5274,信驊,3080.0,-2.53,5.24,0.01,4.0,-0.29,-0.33,-0.39,1,1,5,4,8,12,64.15,-0.1,26.04,33.1,29.38,,-14.4,33.62,17.39,,單月增加,3個月遞增,,,,v,信驊,5274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-07,5351,鈺創,81.3,-5.47,1.05,0.01,15.0,0.01,0.01,0.01,1,1,3,0,0,0,5.41,-0.1,2.31,3.51,-1.14,,1.46,114.14,69.58,2個月遞增,單月增加,3個月遞增,連續3個月>20%,連續3個月>50%,,,鈺創,5351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-07,8454,富邦媒,1675.0,6.01,0.38,0.01,13.0,0.01,0.01,-0.08,1,1,2,0,0,5,31.83,0.22,12.98,16.43,13.87,,84.68,32.03,32.39,3個月遞增,單月增加,單月增加,連續3個月>20%,,,,富邦媒,8454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-07,3016,嘉晶,125.0,-3.47,0.02,0.0,9.0,0.0,0.0,0.0,1,1,2,0,0,1,6.74,0.63,0.95,1.26,0.09,,-0.28,26.8,24.85,,單月增加,3個月遞增,連續3個月>20%,,,,嘉晶,3016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-07,3036,文曄,76.9,1.99,0.6,0.0,3.0,-0.0,-0.01,-0.01,1,1,6,2,7,9,12.15,0.03,7.3,9.31,5.22,,27.75,20.25,26.68,2個月遞增,2個月遞增,單月增加,連續3個月>20%,,,,文曄,3036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-07,6147,頎邦,66.4,-0.75,1.63,0.0,21.0,0.0,-0.0,-0.0,1,1,2,0,5,6,27.4,-0.14,6.62,8.22,5.61,,1.08,7.54,22.97,2個月遞增,2個月遞增,單月增加,連續3個月>20%,,,,頎邦,6147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-07,6239,力成,97.2,-1.32,1.68,0.0,19.0,-0.0,-0.02,0.04,1,1,7,3,8,12,51.51,-0.26,8.29,10.46,8.6,,-0.73,18.3,9.27,,3個月遞增,3個月遞增,,,,,力成,6239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-10,6288,聯嘉,30.45,5.18,1.51,0.82,1500.0,0.81,0.8,0.79,1,1,1,3,6,12,1.13,-0.41,0.07,,0.85,,-16.71,-20.53,-4.3,,3個月遞增,,,,,,聯嘉,6288,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-10,3484,崧騰,84.2,0.12,2.57,0.48,333.0,0.48,0.48,2.4,1,1,4,0,0,0,5.79,-0.35,6.71,,5.2,,1.76,3.66,48.69,3個月遞增,單月增加,單月增加,連續3個月>20%,,,,崧騰,3484,8.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-10,6706,惠特,239.0,7.9,4.88,0.34,249.0,0.34,0.1,-0.01,1,1,4,0,3,6,19.14,3.63,9.55,,5.12,,4.78,69.56,81.06,單月增加,單月增加,單月增加,連續3個月>20%,,,v,惠特,6706,14.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-10,6217,中探針,53.3,2.3,0.25,0.25,165.0,0.25,0.2,0.19,1,1,1,0,1,2,3.82,-0.5,1.75,,1.48,,11.69,31.8,23.0,3個月遞增,2個月遞增,2個月遞增,連續3個月>20%,,,v,中探針,6217,2.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-10,8183,精星,61.3,5.33,3.19,0.13,155.0,0.13,0.13,0.13,1,1,1,0,0,0,1.67,0.84,2.04,,1.73,,21.59,36.67,53.42,2個月遞增,單月增加,單月增加,連續3個月>20%,,,v,精星,8183,2.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-10,5609,中菲行,109.0,1.4,0.21,0.12,165.0,0.12,0.01,0.01,1,1,1,0,1,1,16.25,-0.94,10.56,,8.62,,4.09,115.26,71.93,單月增加,單月增加,3個月遞增,連續3個月>20%,,,v,中菲行,5609,15.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-10,1227,佳格,53.2,1.14,0.54,0.0,4.0,-0.0,-0.01,0.36,1,1,9,3,6,7,7.03,0.0,2.17,,3.54,,-3.33,-8.01,-0.46,,,,,,,,佳格,1227,2.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-10,3014,聯陽,104.5,-0.48,0.34,0.0,2.0,0.0,-0.0,-0.0,1,1,3,0,3,4,12.07,-0.03,8.67,,5.83,,-6.59,16.21,49.12,,單月增加,單月增加,連續3個月>20%,,,,聯陽,3014,11.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-10,3081,聯亞,188.5,2.72,0.58,0.0,1.0,0.0,-0.0,-0.0,1,1,1,0,3,3,51.3,0.1,3.64,,6.5,,5.18,-50.92,-18.89,2個月遞增,2個月遞增,,,,,,聯亞,3081,3.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-10,3228,金麗科,428.0,1.78,3.24,0.0,1.0,0.0,-0.0,-0.0,1,1,1,0,2,2,5.63,-0.12,2.63,,1.02,,323.79,58.07,63.47,2個月遞增,2個月遞增,單月增加,連續3個月>20%,連續3個月>50%,,v,金麗科,3228,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-10,4919,新唐,137.0,4.58,4.77,0.0,8.0,-0.34,-0.67,-0.55,1,1,4,3,7,14,6.44,0.09,4.63,,1.81,,-2.5,-0.86,100.57,,,單月增加,連續3個月>20%,連續3個月>50%,連續3個月>100%,,新唐,4919,6.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-10,4968,立積,251.0,-1.38,0.94,0.0,1.0,-0.03,-0.04,0.05,1,1,3,1,4,5,38.66,-0.02,6.07,,13.82,,31.26,-45.4,-0.63,2個月遞增,2個月遞增,,,單月>50%,,,立積,4968,6.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-10,6202,盛群,105.0,0.0,0.06,0.0,3.0,0.0,-0.0,-0.43,1,1,2,0,4,7,23.78,-0.04,6.97,,4.56,,-15.92,8.67,26.95,,單月增加,單月增加,連續3個月>20%,,,,盛群,6202,9.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-11,3583,辛耘,103.0,-6.79,0.17,0.17,140.0,0.17,0.17,0.17,1,1,1,0,0,0,10.41,-2.66,3.7,,3.8,,12.15,0.91,30.83,單月增加,單月增加,單月增加,連續3個月>20%,,,v,辛耘,3583,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-11,9938,百和,84.1,0.96,0.32,0.03,100.0,0.03,-0.13,-0.24,1,1,2,0,4,7,33.04,-0.05,5.43,,5.21,,-11.15,19.26,24.61,,單月增加,單月增加,連續3個月>20%,,,,百和,9938,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-11,4438,廣越,128.5,-1.15,0.36,0.01,10.0,0.01,0.01,0.01,1,1,1,0,0,0,2.27,-0.01,4.81,,5.2,,11.6,190.7,6.77,單月增加,單月增加,3個月遞增,,,,,廣越,4438,7.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-11,8121,越峰,45.15,-5.15,0.01,0.01,10.0,0.01,0.01,0.01,1,1,1,0,0,0,0.87,-0.13,0.24,,0.18,,-1.0,30.12,41.75,,單月增加,單月增加,連續3個月>20%,,,,越峰,8121,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-11,9940,信義,35.45,2.46,0.36,0.01,100.0,0.01,0.01,0.32,1,1,9,0,0,0,5.98,-0.01,2.27,,2.11,,18.55,48.45,43.87,2個月遞增,2個月遞增,2個月遞增,連續3個月>20%,,,,信義,9940,3.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-11,3701,大眾控,66.3,-9.92,0.04,0.0,8.0,0.0,0.0,0.0,1,1,1,0,1,1,3.95,0.22,1.19,,-0.21,,19.14,28.65,37.17,3個月遞增,2個月遞增,單月增加,連續3個月>20%,,,v,大眾控,3701,1.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-11,6415,矽力-KY,3980.0,-5.69,1.94,0.0,3.0,-0.17,-0.21,-0.21,1,1,5,4,8,13,93.99,-0.14,46.78,,35.72,,17.41,65.06,54.98,3個月遞增,3個月遞增,2個月遞增,連續3個月>20%,,,v,矽力-KY,6415,67.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-12,5904,寶雅,430.0,0.82,0.35,0.05,47.0,0.05,-0.0,-0.14,1,1,1,0,1,11,32.54,-0.02,12.76,,21.6,,10.39,0.34,-0.39,2個月遞增,單月增加,3個月遞增,,,,,寶雅,5904,17.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-12,3131,弘塑,352.0,0.57,6.24,0.04,12.0,-0.38,-0.53,-0.63,1,1,2,2,4,7,3.8,-0.18,15.02,,13.92,,8.0,30.96,47.03,2個月遞增,單月增加,單月增加,連續3個月>20%,,,,弘塑,3131,20.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-12,3680,家登,298.5,-0.83,3.94,0.02,20.0,0.02,0.02,0.02,1,1,1,0,0,0,13.65,0.04,1.6,,6.18,,-1.05,13.21,24.63,,單月增加,單月增加,連續2個月>20%,,,,家登,3680,2.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-12,1712,興農,28.8,2.49,0.01,0.01,47.0,0.01,0.01,0.01,1,1,1,0,0,0,12.35,0.2,1.73,,1.7,,3.43,12.56,6.64,2個月遞增,3個月遞增,3個月遞增,,,,,興農,1712,2.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-12,4536,拓凱,140.5,2.55,0.65,0.01,10.0,0.01,0.01,0.02,1,1,2,0,0,0,15.62,0.01,6.31,,7.48,,-5.8,22.05,20.14,,單月增加,3個月遞增,單月>20%,,,,拓凱,4536,8.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-12,6561,是方,276.0,0.55,0.01,0.01,8.0,0.01,0.01,0.01,1,1,1,0,0,0,13.16,-0.0,7.1,,8.67,,0.45,7.55,9.21,單月增加,3個月遞增,單月增加,,,,,是方,6561,9.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-12,9941,裕融,182.5,1.96,0.13,0.01,53.0,0.01,0.0,-0.0,1,1,2,2,5,6,5.5,0.08,9.43,,8.85,,3.46,11.61,7.44,3個月遞增,2個月遞增,3個月遞增,,,,v,裕融,9941,13.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-13,3491,昇達科,190.0,3.83,1.92,0.46,288.0,-0.0,-0.0,0.36,1,1,5,1,1,1,12.07,-0.06,2.93,,2.03,,-13.4,7.01,18.67,,單月增加,單月增加,,,,,昇達科,3491,3.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
